 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,20,255.000,255,255,18.971,6.061,4.202,82.480,7.071,290,48,98.130,5.000
2,45,238.000,0,255,34.971,12.978,4.415,88.325,14.318,327,63,77.905,5.000
3,79,248.544,0,255,53.456,14.669,6.857,93.152,17.720,327,66,106.390,7.920
4,70,251.357,0,255,47.799,16.750,5.321,88.660,19.105,268,68,96.009,6.766
5,45,255.000,255,255,38.142,14.995,3.821,91.042,17.117,285,68,96.710,4.000
6,149,253.289,0,255,127.983,22.713,8.353,99.886,35.355,344,79,98.130,13.000
7,38,255.000,255,255,42.142,13.697,3.532,97.725,16.279,315,84,100.620,5.000
8,14,255.000,255,255,17.314,7.429,2.399,119.256,8.062,225,89,119.745,3.130
9,246,246.707,0,255,102.426,35.905,8.723,95.166,43.186,262,89,95.315,11.816
10,38,255.000,255,255,28.627,9.073,5.333,159.269,10.000,204,94,143.130,6.261
11,23,255.000,255,255,33.799,10.911,2.684,78.678,14.142,279,110,81.870,4.447
12,136,255.000,255,255,74.184,31.054,5.576,105.114,32.894,230,100,109.537,7.034
13,309,253.350,0,255,152.894,31.812,12.367,63.259,42.544,419,139,60.422,19.621
14,103,255.000,255,255,51.556,24.366,5.382,96.101,23.537,250,104,102.265,5.954
15,11,255.000,255,255,18.485,5.500,2.546,73.748,6.708,274,113,63.435,3.000
16,246,252.927,0,255,117.681,40.081,7.815,35.316,47.634,442,151,39.036,12.005
17,33,255.000,255,255,26.627,11.628,3.614,37.820,12.806,450,131,38.660,4.243
18,110,255.000,255,255,64.669,20.969,6.679,38.899,27.019,467,146,38.991,9.707
19,29,255.000,255,255,28.385,10.719,3.445,66.442,12.530,403,141,61.390,4.919
20,526,252.576,0,255,187.865,32.212,20.791,106.339,43.081,204,136,111.801,25.458
21,85,255.000,255,255,47.456,19.806,5.464,160.684,21.024,182,139,154.654,7.192
22,30,255.000,255,255,28.627,9.756,3.915,32.787,11.662,421,147,30.964,4.950
23,67,247.388,0,255,50.770,16.015,5.327,68.857,19.723,426,158,59.534,6.641
24,24,255.000,255,255,24.971,7.680,3.979,73.372,9.849,436,152,66.038,4.919
25,19,255.000,255,255,20.971,5.320,4.547,0.682,6.708,366,153,153.435,6.000
26,16,255.000,255,255,20.142,9.147,2.227,59.350,9.434,419,160,57.995,3.051
27,357,254.286,0,255,152.551,32.671,13.913,13.244,41.231,447,170,14.036,20.680
28,20,255.000,255,255,18.485,8.436,3.018,81.344,8.544,298,166,69.444,3.000
29,10,255.000,255,255,14.485,6.076,2.096,73.611,6.708,437,172,63.435,2.846
30,211,253.791,0,255,75.598,22.052,12.183,178.997,30.017,162,178,178.091,13.000
31,14,255.000,255,255,17.314,7.290,2.445,58.871,8.062,319,174,60.255,3.328
32,35,255.000,255,255,33.113,15.286,2.915,43.434,15.620,328,181,39.806,4.243
33,14,255.000,255,255,15.899,6.337,2.813,13.055,7.280,200,179,15.945,3.000
34,411,253.759,0,255,160.551,30.368,17.232,117.020,48.010,191,181,125.676,26.481
35,17,255.000,255,255,17.314,7.890,2.743,67.951,8.062,464,187,60.255,3.479
36,18,255.000,255,255,18.485,7.048,3.252,169.722,7.616,350,182,156.801,4.000
37,24,255.000,255,255,20.971,8.182,3.735,33.880,8.602,360,188,35.538,4.600
38,21,255.000,255,255,20.728,8.485,3.151,60.818,9.434,303,194,57.995,4.025
39,31,255.000,255,255,23.556,8.576,4.603,15.091,9.434,381,197,32.005,5.000
40,15,255.000,255,255,16.142,7.164,2.666,56.621,7.810,293,201,50.194,3.536
41,22,255.000,255,255,27.556,7.601,3.685,49.776,9.220,449,202,49.399,4.919
42,17,255.000,255,255,23.799,11.226,1.928,52.767,11.402,278,212,52.125,2.800
43,20,255.000,255,255,19.556,8.356,3.048,52.652,9.220,268,212,49.399,4.025
44,65,255.000,255,255,49.941,18.420,4.493,24.308,21.095,296,217,31.430,6.225
45,12,255.000,255,255,16.728,6.845,2.232,151.245,7.616,380,209,156.801,3.130
46,70,251.357,0,255,69.154,14.214,6.270,17.555,20.125,277,220,26.565,10.174
47,13,255.000,255,255,17.899,7.996,2.070,17.778,8.544,315,214,20.556,2.846
48,18,255.000,255,255,19.314,7.902,2.900,15.106,8.544,308,222,20.556,3.638
49,75,255.000,255,255,52.284,13.363,7.146,119.710,16.492,219,222,104.036,10.963
50,29,255.000,255,255,27.556,11.974,3.084,20.798,13.000,298,233,22.620,4.025
51,30,255.000,255,255,25.799,9.063,4.215,150.571,10.000,205,251,143.130,5.367
52,10,255.000,255,255,18.728,4.049,3.145,26.873,5.385,414,257,158.199,4.438
53,39,255.000,255,255,31.556,11.823,4.200,173.469,14.036,203,260,175.914,5.000
54,17,255.000,255,255,24.385,5.729,3.778,133.293,8.062,334,261,150.255,5.200
55,30,255.000,255,255,37.456,15.501,2.464,148.374,17.000,483,262,151.928,4.160
56,119,255.000,255,255,56.770,22.446,6.750,68.934,23.409,216,287,70.017,8.728
57,25,255.000,255,255,23.799,9.615,3.311,151.414,10.817,397,267,146.310,4.472
58,11,255.000,255,255,15.071,6.680,2.097,2.340,7.071,309,270,171.870,2.000
59,13,255.000,255,255,17.314,7.619,2.172,158.062,8.062,491,276,150.255,2.846
60,50,255.000,255,255,50.527,18.194,3.499,150.774,20.591,496,283,150.945,5.488
61,16,255.000,255,255,16.728,6.976,2.920,46.479,7.810,218,292,50.194,3.536
62,27,255.000,255,255,24.971,9.631,3.569,159.013,11.180,495,290,153.435,4.743
63,13,255.000,255,255,19.556,5.516,3.001,176.089,7.280,454,292,164.055,4.000
64,65,255.000,255,255,40.042,11.722,7.060,16.432,14.422,203,301,33.690,8.538
65,18,255.000,255,255,21.556,10.001,2.292,154.068,10.296,487,304,150.945,3.130
66,19,255.000,255,255,19.556,8.438,2.867,51.478,9.220,231,318,49.399,3.536
67,221,253.846,0,255,105.640,19.089,14.741,53.379,26.833,189,335,26.565,19.000
68,60,255.000,255,255,34.870,11.494,6.646,45.577,14.213,229,331,50.711,7.778
69,46,255.000,255,255,28.042,11.941,4.905,134.195,12.806,492,324,128.660,5.657
70,201,255.000,255,255,74.083,26.849,9.532,107.145,29.530,491,331,118.301,11.918
71,25,255.000,255,255,32.042,9.905,3.214,131.395,12.728,449,335,135.000,4.950
72,255,255.000,255,255,77.983,21.767,14.916,52.564,27.019,224,359,51.009,16.918
73,186,253.629,0,255,103.681,34.597,6.845,121.041,39.205,455,346,127.747,9.253
74,712,254.642,0,255,194.066,43.389,20.893,131.193,54.203,249,359,119.876,30.732
75,24,255.000,255,255,27.213,11.087,2.756,127.516,12.806,470,359,128.660,4.243
76,244,250.820,0,255,144.409,36.970,8.403,118.787,55.009,414,360,117.031,14.523
77,10,255.000,255,255,13.314,5.935,2.145,52.466,6.403,237,373,51.340,2.828
78,14,255.000,255,255,17.556,7.141,2.496,131.129,8.485,436,370,135.000,3.536
79,96,255.000,255,255,49.941,18.733,6.525,52.133,22.023,222,391,50.528,8.944
80,168,255.000,255,255,91.882,24.873,8.600,123.930,35.468,458,380,130.426,12.157
81,163,251.871,0,255,81.882,26.346,7.877,113.519,30.083,393,383,111.448,11.014
82,1095,252.438,0,255,332.375,43.209,32.266,174.628,53.141,280,415,19.799,42.989
83,18,255.000,255,255,18.971,8.405,2.727,43.434,9.220,232,394,40.601,3.536
84,16,255.000,255,255,16.485,7.027,2.899,13.745,7.616,223,396,23.199,3.000
85,30,246.500,0,255,27.213,9.156,4.172,124.911,11.402,364,400,127.875,5.814
86,128,255.000,255,255,57.598,16.271,10.016,162.518,21.633,382,406,146.310,12.254
87,51,255.000,255,255,42.284,17.600,3.690,114.104,19.235,440,410,117.897,4.919
88,16,255.000,255,255,16.485,7.075,2.879,102.995,7.616,251,413,113.199,3.000
89,96,255.000,255,255,44.870,16.834,7.261,97.582,18.682,369,420,105.524,8.000
90,30,255.000,255,255,25.314,10.506,3.636,102.526,11.402,325,435,105.255,4.000
91,15,255.000,255,255,24.142,9.435,2.024,93.999,10.198,368,451,101.310,2.959
92,19,255.000,255,255,22.485,9.382,2.579,95.070,10.198,333,453,101.310,3.000
